DOC_ID,Author
406,"['abalos', ' e. addo', ' v. brocklehurst', ' p. el sheikh', ' m. farrell', ' b. gray', ' s. hardy', ' p. juszczak', ' e. mathews', ' j. e. masood', ' s. n. oyarzun', ' e. oyieke', ' j. sharma', ' j. b. spark', ' p.']"
407,"['abalos', ' e. oyarzun', ' e. addo', ' v. sharma', ' j. b. matthews', ' j. oyieke', ' j. masood', ' s. n. el sheikh', ' m. a. brocklehurst', ' p. farrell', ' b. gray', ' s. hardy', ' p. jamieson', ' n. juszczak', ' e. spark', ' p.']"
408,"['aban', ' a. s. abdelghafar', ' r. m. badawi', ' m. e. almubarak', ' a. m.']"
409,"['abasher', ' s. m.']"
410,"['abass', ' badrelddin. a. mohamed', ' inaam. n. elseed', ' maha. a. karrar', ' zein.  a. mohamed', ' sumia sir elkhatim. mahmoud', ' adil abdulrahman. ali', ' abdulazim ahmed. khamis', ' ali abdel gadir. jacoub', ' angom osman. suleiman', ' suleiman hussein.']"
411,"['abass', ' e. bollig', ' n. reinhard', ' k. camara', ' b. mansour', ' d. visekruna', ' a. lohoff', ' m. steinhoff', ' u.']"
412,"['abass', ' e. kang', ' c. martinkovic', ' f. semiao-santos', ' s. j. sundar', ' s. walden', ' p. piarroux', ' r. el harith', ' a. lohoff', ' m. steinhoff', ' u.']"
413,"['abass', ' e. mahamoud', ' a. mansour', ' d. mohebali', ' m. el harith', ' a.']"
414,"['abass', ' e. m. mansour', ' d. el mutasim', ' m. hussein', ' m. el harith', ' a.']"
415,"['abass', ' n. a. suleiman', ' k. m. el jalii', ' i. m.']"
416,"['abass', ' r. m. hamdan', ' h. z. elhassan', ' e. m. hamdan', ' s. z. ali', ' n. i. adam', ' i.']"
417,"['abass', ' s. k. hartsfield', ' j. k. j. r. al-qawasmi', ' r. a. everett', ' e. t. foroud', ' t. m. roberts', ' w. e.']"
418,"['abate', ' e. aseffa', ' a. el-tayeb', ' m. el-hassan', ' i. yamuah', ' l. mihret', ' w. bekele', ' l. ashenafi', ' s. el-dawi', ' n. belayneh', ' m. el-hassan', ' a. engers', ' h.']"
419,"['abaynew', ' y. deribew', ' a. deribe', ' k.']"
420,"['abbakar', ' magda osman.']"
421,"['abbaker', ' a. o. salih', ' y. ali', ' a. a. imam', ' a. m. abdulla', ' e. a. adam', ' i.']"
422,"['abbas', ' a. a. gabo', ' n. e. babiker', ' z. o. herieka', ' e. a.']"
425,"['abbas', ' a. m. medani', ' s. abdallah', ' t. m. gasim', ' g. i.']"
426,"['abbas', ' b.']"
427,"['abbas', ' b. el tayeb', ' a. e. suliman', ' y. r.']"
428,"['abbas', ' b. el zubeir', ' a. e. yassin', ' t. t.']"
429,"['abbas', ' b. razig', ' s. a. shigidi', ' m. t.']"
430,"['abbas', ' h. h. elbashir', ' a. a. aboul-enein', ' h. y.']"
431,"['abbas', ' i. s. hilal', ' m. a.']"
432,"['abbas', ' k. e. prabhu', ' s. r.']"
434,"['abbas', ' k. el toum', ' i. a. el-hassan', ' a. m.']"
437,"['abbas', ' r. k.']"
438,"['abbas', ' s. i.']"
439,"['abbas', ' t.  a. ali', ' b. h.']"
440,"['abbas', ' t. e.']"
441,"['abbas', ' z. elseed', ' m. a. mohammed', ' i. n.']"
442,"['abbashar', ' a. o.']"
443,"['abbass', ' a. e. swart', ' h. c. kroon', ' r. e.']"
446,"['abbott', ' p.']"
447,"['abbott', ' p. h.']"
448,"['abbott', ' p. h.']"
449,"['abbott', ' p. h.']"
450,"['abbott', ' p. h.']"
451,"['abbott', ' p. h.']"
453,"['abbott', ' p. h.']"
454,"['abbott', ' p. h.']"
455,"['abbott', ' p. h.']"
456,"['abbott', ' p. h.']"
457,"['abbott', ' p. h.']"
459,"['abbott', ' p. h. hadi', ' m. a.']"
461,"['abbott', ' p. h. spencer', ' h.']"
463,"['abboud', ' o. i. osman', ' e. m. suleiman', ' s. m.']"
464,"['abboud', ' o. l. osman', ' e. m. musa', ' a. r.']"
465,"['abd al magid', ' l. m. hamid', ' o. y. goda', ' s.']"
466,"['abd al-hadi', ' salwa.']"
467,"['abd al-halim', ' hanan ahmed.']"
468,"['abd al-halim r. ahmed chandrasekhara', ' hn ramantham', ' g.']"
469,"['abd al-halim r. ahmed ramantham', ' g.']"
470,"['abd al-halim', ' zeinab.']"
471,"['abd al-jalil', ' shater bosayley.']"
474,"['abd al-malik', ' gamal.']"
475,"['abd al-salam gerais bayoumi', ' ahmed']"
476,"['abd allah', ' a. h. siddig', ' m. a.']"
477,"['abd allah', ' h. a. khattab', ' a. g. h.']"
478,"['abd allah', ' sid ahmed.']"
480,"['abd allah umar abu shamma muhammad ahmad ali ibrahim anis bloss', ' jfe hakim', ' h']"
481,"['abd bagi', ' m. e. fahal', ' a. h. sheik', ' h. e. abdul wahab', ' o. taifoor', ' m. k. osmanr', ' e. m.']"
482,"['abd el kader mahmoud', ' o. abd el rahim ghazal', ' a. el sayed metwally', ' d. elnour', ' a. m. yousif', ' g. e.']"
483,"['abd el-bagi', ' m. e. abdul wahab', ' o. al-thagafi', ' m. a. el-sheikh', ' h. al-salman', ' k. taifoor', ' m. k. osman', ' f. m.']"
484,"['abd el-bagi', ' m. e. fahal', ' a. h.']"
485,"['abd el-rahim', ' i. h. abd el-hakim', ' u. hussein', ' m.']"
486,"['abd ellatif', ' m. e. hadidi', ' a. e. musa', ' a. m. askar', ' w. abbas', ' a. negm', ' a. moatamed', ' a. dawoud', ' i.']"
487,"['abd halim', ' a. a. zaroog', ' m. s. kadir', ' h. a. tayyab', ' s.']"
488,"['abdal rahman', ' i. b. osman', ' a. m. ali', ' b. m. mustafa el', ' i. e. ali', ' e. e. muneer', ' m. s.']"
489,"['abdalhag', ' m. a. li', ' t. duan', ' l. zhang', ' t. zhang', ' g. wang', ' j. wang', ' y.']"
490,"['abdalla', ' a. a. alawad', ' a. a. ali', ' h. a.']"
491,"['abdalla', ' a. e. ali', ' t. o. rezigalla', ' a. a. abdalla', ' m. i. mohamed', ' m. z.']"
492,"['abdalla', ' a. e. duan', ' x. deng', ' w. zeng', ' j. xie', ' j.']"
493,"['abdalla', ' a. e. li', ' q xie', ' l. xie', ' j.']"
494,"['abdalla', ' a. e. lambert', ' n. duan', ' x. xie', ' j.']"
495,"['abdalla', ' a. hamid', ' m. e.']"
496,"['abdalla', ' a. m. bashir', ' n. h. assad', ' y. o.']"
497,"['abdalla', ' a. s. majok', ' a. a. el malik', ' k. h. ali', ' a. s.']"
498,"['abdalla', ' b. a. salih', ' m. a. yousif', ' e. a. omer', ' m. i.']"
499,"['abdalla', ' f. m. omar', ' m. a.']"
500,"['abdalla', ' f. m. omar', ' m. a. badr', ' e. e.']"
501,"['abdalla hashim', ' a. h. eldin', ' a. h. hashim', ' h. a.']"
502,"['abdalla', ' h. matambo', ' t. s. koekemoer', ' l. l. mnzava', ' a. p. hunt', ' r. h. coetzee', ' m.']"
503,"['abdalla', ' h. s.']"
504,"['abdalla', ' h. wilding', ' c. s. nardini', ' l. pignatelli', ' p. koekemoer', ' l. l. ranson', ' h. coetzee', ' m.']"
505,"['abdalla', ' i. b. elnima', ' e. i. elobeid', ' e. a. elkadeu', ' a. y.']"
506,"['abdalla', ' i. g. ahmed', ' k. e. abdelbagi', ' a. o. babiker', ' e. e.']"
507,"['abdalla', ' k. m.']"
508,"['abdalla', ' m.']"
509,"['abdalla', ' m. a.']"
510,"['abdalla', ' m. a.']"
511,"['abdalla', ' m. a. abdalla', ' shamseldein hassaballa elzaki', ' raga']"
